ID;category;name_en;name_de;packaging_unit;manufacturer_name;manufacturer_articleno;manufacturer_listprice_amount;manufacturer_listprice_currency;manufacturer_article_url;supplier_name;supplier_url;is_affiliate;supplier_listprice_amount;supplier_listprice_currency
76000001;audio;moving blankets;Umzugsdecken;5;;;;;;Amazon.de;https://www.amazon.de/gp/product/B0844W5BSY/;0;32.90;EUR
76000002;;;;;;;;;;;;;;
76000003;;;;;;;;;;;;;;
76000004;;;;;;;;;;;;;;
76000005;;;;;;;;;;;;;;
76000006;;;;;;;;;;;;;;
76000007;;;;;;;;;;;;;;
76000008;;;;;;;;;;;;;;
76000009;;;;;;;;;;;;;;
76000010;;;;;;;;;;;;;;